"OBJECTID","Reg_Code","Reg_Name","Pro_Code","Pro_Name","Mun_Code","Mun_Name","Shape_Leng","Shape_Area","area","population","N_data","N_data_1","Wind_Speed"
52,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012929000","SIGAY",0.36795567002,0.00782893088,96.4602573725,23664.5750318,2,NA,7.43738960728613
53,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012930000","SINAIT",0.35137014002,0.00587047014,72.3300625949,17744.7193275,1,NA,17.5591021934287
54,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012931000","SUGPON",0.59185299947,0.00901210106,111.03809716,27240.953458,2,NA,9.79522840666383
55,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012932000","SUYO",0.51771573894,0.01388332464,171.056442889,41965.2418279,1,NA,7.43738960728613
56,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012933000","TAGUDIN",0.34967052728,0.00496388326,61.1600056465,15004.3715618,2,NA,7.43738960728613
57,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012934000","CITY OF VIGAN (Capital)",0.23332035054,0.00208164304,25.6479238958,6292.19987563,1,NA,24.1374171383616
58,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013301000","AGOO",0.30399925326,0.00407145383,50.1643826394,24510.5537322,5,NA,9.79522840666383
59,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013302000","ARINGAY",0.52759512724,0.00822232215,101.30723121,49499.1905289,2,NA,9.79522840666383
60,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013303000","BACNOTAN",0.36215601475,0.0064747094,79.7748945174,38978.3893605,4,NA,9.79522840666383
61,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013304000","BAGULIN",0.43608341686,0.00767002723,94.5024055008,46174.320623,2,NA,9.79522840666383
62,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013305000","BALAOAN",0.43446592035,0.00525793087,64.7829662493,31653.2625667,2,NA,7.43738960728613
63,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013306000","BANGAR",0.24908582562,0.00298688478,36.8014073744,17981.3410514,3,NA,7.43738960728613
64,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013307000","BAUANG",0.36411772441,0.0064165717,79.0585799157,38628.3946708,2,NA,9.79522840666383
65,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013308000","BURGOS",0.35514978756,0.00308603738,38.023066559,18578.2494854,2,NA,9.79522840666383
66,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013309000","CABA",0.26697647141,0.00395405962,48.717968578,23803.8290063,4,NA,9.79522840666383
67,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013310000","LUNA",0.3163112308,0.00343427847,42.3137450289,20674.6952035,2,NA,7.43738960728613
68,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013311000","NAGUILIAN",0.46342110243,0.00867198049,106.847471617,52206.1780974,2,NA,9.79522840666383
69,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013312000","PUGO",0.42401394525,0.004403584,54.256558464,26510.0101224,3,NA,9.79522840666383
70,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013313000","ROSARIO",0.38678689918,0.00662348648,81.6079769201,39874.0420599,2,NA,9.79522840666383
71,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013314000","CITY OF SAN FERNANDO (Capital)",0.50015559855,0.00837458174,103.183221619,50415.8082824,4,NA,9.79522840666383
72,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013315000","SAN GABRIEL",0.53639268808,0.01031860973,127.135590483,62119.0485729,1,NA,9.79522840666383
73,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013316000","SAN JUAN",0.33908006703,0.00428594072,52.8070756111,25801.7859705,4,NA,9.79522840666383
74,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013317000","SANTO TOMAS",0.4122026834,0.00346466516,42.6881394364,20857.6260751,3,NA,9.79522840666383
75,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013318000","SANTOL",0.51593144289,0.00967553794,119.212302959,58247.6929541,3,NA,9.79522840666383
76,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013319000","SUDIPEN",0.52774531907,0.0076193277,93.8777365917,45869.1044506,4,NA,7.43738960728613
77,"PH010000000","REGION I (ILOCOS REGION)","PH013300000","LA UNION","PH013320000","TUBAO",0.33786554965,0.00459539199,56.6198247088,27664.7131453,3,NA,9.79522840666383
78,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015501000","AGNO",0.6984567391,0.01400375345,172.540246257,86887.8539784,2,NA,1.44909223024653
79,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015502000","AGUILAR",0.62073545482,0.01331708952,164.079859976,82627.3708521,3,NA,9.11463167375225
80,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015503000","CITY OF ALAMINOS",1.51903430659,0.01366921433,168.41838976,84812.1686053,2,NA,8.1438926899508
81,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015504000","ALCALA",0.33148869854,0.00493834997,60.8454099804,30640.5445241,2,NA,9.11463167375225
82,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015505000","ANDA",0.90770450043,0.00656476426,80.8844604475,40731.8138286,1,NA,8.1438926899508
83,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015506000","ASINGAN",0.40517393908,0.00662253952,81.5963094259,41090.2868889,3,NA,9.11463167375225
84,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015507000","BALUNGAO",0.42286396334,0.00576637498,71.0475061286,35778.1182765,2,NA,9.11463167375225
85,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015508000","BANI",0.70387033617,0.01536661142,189.332019306,95343.8586288,2,NA,8.1438926899508
86,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015509000","BASISTA",0.21555195972,0.00215963686,26.6088857521,13399.7083574,1,NA,9.11463167375225
87,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015510000","BAUTISTA",0.34282581573,0.00349189186,43.0235996071,21665.8334585,1,NA,9.11463167375225
88,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015511000","BAYAMBANG",0.63630204272,0.01153458632,142.117638049,71567.630454,1,NA,9.11463167375225
89,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015512000","BINALONAN",0.30183946092,0.00477300385,58.8081804358,29614.6360359,4,NA,9.11463167375225
90,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015513000","BINMALEY",0.34009537057,0.00538171146,66.3080668987,33391.4304591,1,NA,9.11463167375225
91,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015514000","BOLINAO",1.09400893045,0.01742638679,214.71051164,108123.965206,2,NA,8.1438926899508
92,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015515000","BUGALLON",0.73642686949,0.0150695153,185.671498011,93500.492535,1,NA,9.11463167375225
93,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015516000","BURGOS",0.60406324244,0.00973201077,119.908104697,60383.3489157,1,NA,25.0218531933021
94,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015517000","CALASIAO",0.34065493843,0.00400493351,49.3447857767,24849.0577368,2,NA,9.11463167375225
95,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015518000","DAGUPAN CITY",0.41425475059,0.00364771307,44.9434727355,22632.6435776,2,NA,9.11463167375225
96,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015519000","DASOL",0.95049573431,0.01498912393,184.680995942,93001.695292,0,NA,1.44909223024653
97,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015520000","INFANTA",0.93961242347,0.01625476483,200.27495747,100854.505761,1,NA,1.44909223024653
98,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015521000","LABRADOR",0.48070505623,0.00869900169,107.180399822,53973.9285825,0,NA,1.44909223024653
99,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015522000","LINGAYEN (Capital)",0.59760877873,0.00603006525,74.2964339453,37414.2140387,2,NA,9.11463167375225
100,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015523000","MABINI",0.82737574053,0.02169304883,267.280054634,134596.94687,2,NA,1.44909223024653
101,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015524000","MALASIQUI",0.4697010631,0.01164024824,143.419498565,72223.2216501,0,NA,9.11463167375225
102,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015525000","MANAOAG",0.43880246747,0.00440238608,54.2417988917,27315.0966448,2,NA,9.11463167375225
103,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015526000","MANGALDAN",0.34329482087,0.00408142766,50.2872701989,25323.674243,2,NA,9.11463167375225
104,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015527000","MANGATAREM",0.80010401657,0.02598712306,320.187343222,161240.010532,1,NA,9.11463167375225
105,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015528000","MAPANDAN",0.21510078451,0.0017238508,21.2395657068,10695.8250248,1,NA,9.11463167375225
106,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015529000","NATIVIDAD",0.3885594602,0.00793849112,97.8101490895,49255.2557218,4,NA,12.4768746505538
107,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015530000","POZORRUBIO",0.32989937379,0.00594629361,73.2642835688,36894.4435322,3,NA,9.11463167375225
108,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015531000","ROSALES",0.40064250338,0.00610555449,75.2265368713,37882.5954684,1,NA,9.11463167375225
109,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015532000","SAN CARLOS CITY",0.63124496954,0.01247527187,153.70782471,77404.2191226,1,NA,9.11463167375225
110,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015533000","SAN FABIAN",0.42316060941,0.00640640441,78.9333087356,39749.2524338,3,NA,9.11463167375225
111,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015534000","SAN JACINTO",0.31412000352,0.00357781063,44.0822047722,22198.9260731,1,NA,9.11463167375225
112,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015535000","SAN MANUEL",0.54984071277,0.01162914794,143.282731769,72154.3485978,3,NA,9.11463167375225
113,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015536000","SAN NICOLAS",0.56951779545,0.01902731161,234.435506347,118057.082244,1,NA,12.4768746505538
114,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015537000","SAN QUINTIN",0.5640416197,0.00723493205,89.1415977881,44889.9448102,1,NA,12.4768746505538
115,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015538000","SANTA BARBARA",0.3792370402,0.0052834221,65.0970436941,32781.5831357,2,NA,9.11463167375225
116,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015539000","SANTA MARIA",0.3781149533,0.00393893761,48.5316502928,24439.5787965,0,NA,12.4768746505538
117,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015540000","SANTO TOMAS",0.13771882712,0.00104547518,12.8812996928,6486.76764431,1,NA,9.11463167375225
118,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015541000","SISON",0.58201410579,0.01308310637,161.196953585,81175.5962374,4,NA,9.11463167375225
119,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015542000","SUAL",0.87964732525,0.0112069386,138.080690491,69534.7035425,2,NA,1.44909223024653
120,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015543000","TAYUG",0.28198125922,0.00371355033,45.7546536159,23041.1382182,3,NA,12.4768746505538
121,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015544000","UMINGAN",0.793649218,0.02181104446,268.733878792,135329.063949,0,NA,12.4768746505538
122,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015545000","URBIZTONDO",0.29284230213,0.00340313433,41.9300180799,21115.12744,2,NA,9.11463167375225
123,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015546000","CITY OF URDANETA",0.4614962342,0.00806568147,99.3772613919,50044.422469,4,NA,9.11463167375225
124,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015547000","VILLASIS",0.43577979361,0.00682353787,84.0728100963,42337.4036242,4,NA,9.11463167375225
125,"PH010000000","REGION I (ILOCOS REGION)","PH015500000","PANGASINAN","PH015548000","LAOAC",0.33152630075,0.00351201185,43.2714980038,21790.6701859,4,NA,9.11463167375225
126,"PH020000000","REGION II (CAGAYAN VALLEY)","PH020900000","BATANES","PH020901000","BASCO (Capital)",0.33785940727,0.00289948776,35.724588691,2641.99945482,0,NA,44.0575913070336
127,"PH020000000","REGION II (CAGAYAN VALLEY)","PH020900000","BATANES","PH020902000","ITBAYAT",0.98294775418,0.00774755445,95.4576183785,7059.53476179,0,NA,44.0575913070336
128,"PH020000000","REGION II (CAGAYAN VALLEY)","PH020900000","BATANES","PH020903000","IVANA",0.19247966688,0.0012723342,15.6764296782,1159.34487088,1,NA,44.0575913070336
129,"PH020000000","REGION II (CAGAYAN VALLEY)","PH020900000","BATANES","PH020904000","MAHATAO",0.21834019778,0.00100046292,12.3267036373,911.617053767,0,NA,44.0575913070336
130,"PH020000000","REGION II (CAGAYAN VALLEY)","PH020900000","BATANES","PH020905000","SABTANG",0.4985144125,0.00354476944,43.6751042702,3229.9770522,0,NA,44.0575913070336
131,"PH020000000","REGION II (CAGAYAN VALLEY)","PH020900000","BATANES","PH020906000","UYUGAN",0.1624362946,0.00097861908,12.0575656847,891.713050667,1,NA,44.0575913070336
132,"PH020000000","REGION II (CAGAYAN VALLEY)","PH021500000","CAGAYAN","PH021501000","ABULUG",0.56605271181,0.01134307936,139.758080795,16465.113538,1,NA,35.4009719157201
133,"PH020000000","REGION II (CAGAYAN VALLEY)","PH021500000","CAGAYAN","PH021502000","ALCALA",0.61851045816,0.01539353992,189.663805354,22344.5833789,3,NA,5.23406303922371
134,"PH020000000","REGION II (CAGAYAN VALLEY)","PH021500000","CAGAYAN","PH021503000","ALLACAPAN",0.67326055961,0.01969902028,242.71162887,28594.22871,1,NA,35.4009719157201
135,"PH020000000","REGION II (CAGAYAN VALLEY)","PH021500000","CAGAYAN","PH021504000","AMULUNG",0.96485767929,0.02450946967,301.981175804,35576.8648056,3,NA,17.7612028402411
136,"PH020000000","REGION II (CAGAYAN VALLEY)","PH021500000","CAGAYAN","PH021505000","APARRI",1.38105194178,0.02235704352,275.46113321,32452.4979722,3,NA,43.8536614852809
137,"PH020000000","REGION II (CAGAYAN VALLEY)","PH021500000","CAGAYAN","PH021506000","BAGGAO",1.4766836345,0.07908890007,974.454337762,114801.957909,1,NA,5.13905920022018
138,"PH020000000","REGION II (CAGAYAN VALLEY)","PH021500000","CAGAYAN","PH021507000","BALLESTEROS",0.48359052561,0.01106370374,136.315893781,16059.5842141,3,NA,35.4009719157201
139,"PH020000000","REGION II (CAGAYAN VALLEY)","PH021500000","CAGAYAN","PH021508000","BUGUEY",0.64558527482,0.01100553392,135.599183428,15975.1474698,1,NA,35.4009719157201
140,"PH020000000","REGION II (CAGAYAN VALLEY)","PH021500000","CAGAYAN","PH021509000","CALAYAN",2.56227393053,0.0431810143,532.03327719,62679.6551947,1,NA,43.8536614852809
141,"PH020000000","REGION II (CAGAYAN VALLEY)","PH021500000","CAGAYAN","PH021510000","CAMALANIUGAN",0.4539172259,0.00762166295,93.906509207,11063.2696675,3,NA,35.4009719157201
142,"PH020000000","REGION II (CAGAYAN VALLEY)","PH021500000","CAGAYAN","PH021511000","CLAVERIA",0.59572227695,0.01103609093,135.975676349,16019.5026774,3,NA,13.3813145475502
143,"PH020000000","REGION II (CAGAYAN VALLEY)","PH021500000","CAGAYAN","PH021512000","ENRILE",0.56730282761,0.01297519883,159.867424784,18834.2261508,3,NA,17.7612028402411
144,"PH020000000","REGION II (CAGAYAN VALLEY)","PH021500000","CAGAYAN","PH021513000","GATTARAN",1.52568242554,0.05452704101,671.827672284,79149.0469759,3,NA,5.23406303922371
145,"PH020000000","REGION II (CAGAYAN VALLEY)","PH021500000","CAGAYAN","PH021514000","GONZAGA",1.15622769901,0.04506161821,555.204197965,65409.4568575,1,NA,35.3377295841589
