,OBJECTID,Reg_Code,Reg_Name,Pro_Code,Pro_Name,Mun_Code,Mun_Name,Shape_Leng,Shape_Area,area,population,N_data,N_data_1,Wind_Speed,wind_10-31_3,wind_10-31_6,wind_10-31_9,wind_10-31_12,wind_10-31_15,wind_10-31_18,wind_10-31_21,wind_11-01_0,wind_11-01_3,wind_11-01_6,wind_11-01_9,wind_11-01_12,wind_11-01_15,wind_11-01_18,wind_11-01_21,wind_11-02_0,Max_Wind_Speed
1471,1472,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166702000,BACUAG,0.36234007890000003,0.00517212744,63.7257821882,12575.5360065,1,,3.1906675231559802,3.1906675231559802,9.756013288534321,8.5643504502329,10.1076273375392,8.70218209445404,17.0781140860575,13.1299759648016,11.577036564427301,11.1042986919963,8.31503400081765,5.2382829737927405,5.547615494998761,4.57316298767116,1.27962232197424,3.077916657406,2.91314837863552,17.0781140860575
1472,1473,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166704000,BURGOS,0.25437299894000004,0.0013754796,16.9472841516,3344.34784075,0,,10.3844825864838,10.3844825864838,10.816715417453402,5.50383919539847,27.7685466524229,27.924695358629798,28.041464623951697,29.5337173022586,19.242212928532897,6.006863703628389,9.34264652791243,9.2766059454594,2.11536661394074,3.1396573848757203,5.302863068968559,8.16780276094905,6.22701161919595,29.5337173022586
1473,1474,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166706000,CLAVER,0.9957008828,0.02357251969,290.4370151,57314.3399045,1,,3.4421949603343798,3.4421949603343798,9.756013288534321,10.4123524172024,13.517964185050198,10.3759509633849,17.0781140860575,13.1299759648016,11.577036564427301,11.1042986919963,10.163517352401199,6.7170109888211105,13.945394709180901,6.12003044147012,5.63091818706886,7.44840915224269,3.73745068929258,17.0781140860575
1474,1475,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166707000,DAPA,1.4245705104100002,0.006923339840000001,85.3024701686,16833.4424187,1,,10.3844825864838,10.3844825864838,10.816715417453402,10.4123524172024,27.7685466524229,27.924695358629798,28.041464623951697,29.5337173022586,19.242212928532897,8.29512662915051,10.163517352401199,9.2766059454594,13.945394709180901,6.12003044147012,5.63091818706886,8.16780276094905,6.22701161919595,29.5337173022586
1475,1476,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166708000,DEL CARMEN,1.6084531091799998,0.01219458435,150.249473776,29649.972154900002,0,,10.3844825864838,10.3844825864838,10.816715417453402,5.50383919539847,27.7685466524229,27.924695358629798,28.041464623951697,29.5337173022586,19.242212928532897,6.006863703628389,9.34264652791243,9.2766059454594,2.11536661394074,3.1396573848757203,5.302863068968559,8.16780276094905,6.22701161919595,29.5337173022586
1476,1477,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166710000,GENERAL LUNA,0.61331051574,0.00386912112,47.6714413195,9407.40005396,0,,10.3844825864838,10.3844825864838,10.816715417453402,10.4123524172024,27.7685466524229,27.924695358629798,28.041464623951697,29.5337173022586,19.242212928532897,8.29512662915051,10.163517352401199,9.2766059454594,13.945394709180901,6.12003044147012,5.63091818706886,8.16780276094905,6.22701161919595,29.5337173022586
1477,1478,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166711000,GIGAQUIT,0.6168511235999999,0.011633850259999998,143.340669053,28286.600540299998,0,,3.1906675231559802,3.1906675231559802,9.756013288534321,8.5643504502329,10.1076273375392,8.70218209445404,17.0781140860575,13.1299759648016,11.577036564427301,11.1042986919963,8.31503400081765,5.2382829737927405,5.547615494998761,4.57316298767116,1.27962232197424,3.077916657406,2.91314837863552,17.0781140860575
1478,1479,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166714000,MAINIT,0.67746893448,0.008837317309999999,108.88458657700001,21487.0966199,1,,3.1906675231559802,3.1906675231559802,9.756013288534321,8.5643504502329,10.1076273375392,8.70218209445404,17.0781140860575,13.1299759648016,11.577036564427301,11.1042986919963,8.31503400081765,5.2382829737927405,5.547615494998761,4.57316298767116,1.27962232197424,3.077916657406,2.91314837863552,17.0781140860575
1479,1480,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166715000,MALIMONO,0.5269038686,0.00811631692,100.00114077100001,19734.0527378,0,,3.1906675231559802,3.1906675231559802,9.756013288534321,8.5643504502329,10.1076273375392,8.70218209445404,17.0781140860575,13.1299759648016,11.577036564427301,11.1042986919963,8.31503400081765,5.2382829737927405,5.547615494998761,4.57316298767116,1.27962232197424,3.077916657406,2.91314837863552,17.0781140860575
1480,1481,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166716000,PILAR,0.4673924138600001,0.00613447202,75.5828297584,14915.3853348,1,,10.3844825864838,10.3844825864838,10.816715417453402,5.50383919539847,27.7685466524229,27.924695358629798,28.041464623951697,29.5337173022586,19.242212928532897,6.006863703628389,9.34264652791243,9.2766059454594,2.11536661394074,3.1396573848757203,5.302863068968559,8.16780276094905,6.22701161919595,29.5337173022586
