"disaster_type","disaster_name","pcode","Completely.damaged..abs..","Partly.damaged..abs..","Total.damaged.houses..abs..","total_damage_houses_0p25weight","Partly.damaged..rel..","Completely.damaged..rel..","Total.damaged.houses..rel..","total_damage_houses_0p25weight_perc","ratio_comp_part","Total...of.houses","Wind.speed","Distance.to.typhoon","rainfall","distance_first_impact","Slope","Elevation","ruggedness_stdev","Ruggedness","slope_stdev","Population","land_area","Population.density","Poverty.incidence","X..strong.roof.type","X..strong.wall.type","X..skilled.Agriculture.Forestry.Fishermen","Region","prov","Experience","Prop.Completely.Damaged","Prop.Damaged","td.residual"
"Typhoon","Nock-Ten","PH051730000",23,150,173,60.5,1.030679905,0.158037585,1.188717491,0.415707562,0.570270865,14553.5,88.89851645,38.59930036,188.1,171.7863819,7.311993968,185.8828173,30.80739561,39.49489891,6.434264137,58214,447.7825,130.0054,0.3742,0.604258738,0.491769052,0.122736799,"central","0",2.104477612,0.132947976450697,0.01188717491,-0.198195501879749
"Typhoon","Melor","PH084807000",1256,3918,5174,2235.5,66.65816001,21.36872102,88.02688103,38.03326103,0.330613795,5877.75,111.9620363,17.07914352,267.84,19.21558229,4.224268417,45.48213581,18.25694477,21.7895104,3.992261937,23528,104.1264,225.9559,0.5141,0.587606838,0.417055167,0.157160478,"central","0",2.333333333,0.242752222616151,0.8802688103,0.396781300970885
"Typhoon","Rammasun","PH041001000",140,1535,1675,523.75,16.13284637,1.471399669,17.60424604,5.504611261,0.144249217,9514.749999,97.08662566,12.60312763,306,366.7444052,5.866283141,123.6501283,18.01156293,31.63353613,3.798546209,38271,56.1654,681.3979,0.1617,0.963095848,0.857161158,0.095877453,"metro luzon","0",1.5,0.083582089551391,0.1760424604,0.097821156262907
"Typhoon","Bopha","PH076101000",2,314,316,80.5,20.57667104,0.131061599,20.70773263,5.275229358,0.052420579,1526,99.38303289,32.35139781,196.3464271,371.0220759,7.87227698,98.64649682,28.1702664,39.7391868,6.071977999,6118,31.6747,193.1527,0.1977,0.883594282,0.459496256,0.144495413,"central","0",1,0.00632911392771831,0.2070773263,0.049587836570415
"Typhoon","Utor","PH025005000",8,33,41,16.25,0.214592275,0.05202237,0.266614644,0.105670438,0.866152693,15378.00002,117.4355718,10.15589898,977.179584,87.68185804,9.958175237,501.0641236,44.37797337,48.23313717,9.358716213,61512,163.9562,375.1743,0.0873,0.985386084,0.815453468,0.049876447,"north luzon","0",3.541666667,0.195121952866175,0.00266614644,-0.175383247644298
"Typhoon","Koppu","PH025705000",7,584,591,153,14.53640324,0.17423771,14.71064095,3.808338519,0.075579765,4017.499999,75.00046098,53.81040411,349.2,58.99170108,1.213442501,102.2161532,3.98479521,7.360515864,0.842116227,16070,58.0251,276.9494,0.1262,0.940185976,0.776074391,0.118170504,"north luzon","0",3,0.0118443316366851,0.1471064095,0.0729908131570525
"Typhoon","Koppu","PH012902000",1,30,31,8.5,1.548786784,0.051626226,1.60041301,0.438822922,0.412598744,1937,85.49272567,25.93701627,363.6,188.1619319,7.033603213,87.2923996,21.22280962,36.23380192,4.754850222,7748,28.6018,270.891,0.1872,0.984269663,0.781460674,0.112028911,"north luzon","0",2.068965517,0.0322580644355047,0.0160041301,-0.0935807614742958
"Typhoon","Rammasun","PH035413000",1,3,4,1.75,0.007760762,0.002586921,0.010347682,0.004527111,0.994866003,38656.00045,50,105.1365531,243.6,436.8197508,0.6263754,23.71460177,1.978702446,4.453485147,0.368531208,154624,142.5456,1084.7286,0.0392,0.975096704,0.929637799,0.02353451,"metro luzon","0",1.75,0.250000048320001,0.00010347682,-0.00508235603507696
"Typhoon","Koppu","PH015518000",338,2164,2502,879,5.053978782,0.78939225,5.843371032,2.052886945,0.29557293,42817.75,91.81594823,22.94438784,460.8,148.6050007,0.846446631,5.229178972,3.505608591,6.21824777,0.553711257,171271,49.222,3479.5473,0.1091,0.953785039,0.73349558,0.024867024,"north luzon","0",2.568181818,0.135091926505618,0.05843371032,-0.0670166603409026
"Typhoon","Hagupit","PH072248000",39,387,426,135.75,3.967908133,0.399866711,4.367774844,1.391843744,0.281781924,9753.250001,44.42542945,131.5094038,177,189.5130985,6.202721239,112.1689087,22.12526786,34.55307538,4.593025909,39006,106.5591,366.0511,0.3477,0.945540399,0.385834208,0.111168072,"central","0",1.277777778,0.0915492957585247,0.04367774844,0.00789133979767617
"Typhoon","Bopha","PH118211000",56,536,592,190,2.495954551,0.260771371,2.756725922,0.884760009,0.360637232,21474.75,85.08463278,53.63236553,462.6178674,73.56089946,14.6718506,714.18925,49.11910492,75.13311813,9.975435736,85894,679.275,126.4495,0.3645,0.755567172,0.358352498,0.079244229,"minandao","0",1,0.0945945945945946,0.02756725922,-0.100384614073485
