disaster_type,disaster_name,pcode,Completely damaged (abs.),Partly damaged (abs.),Total damaged houses (abs.),total_damage_houses_0p25weight,Partly damaged (rel.),Completely damaged (rel.),Total damaged houses (rel.),total_damage_houses_0p25weight_perc,ratio_comp_part,Total # of houses,Wind speed,Distance to typhoon,rainfall,distance_first_impact,Slope,Elevation,ruggedness_stdev,Ruggedness,slope_stdev,Predicted damage class (1-5),Population,land_area,Population density,Poverty incidence,% strong roof type,% strong wall type,% skilled Agriculture/Forestry/Fishermen,Region,prov,Experience,Bicol region
Typhoon,Bopha,PH101303000,1,3,4,1.75,0.050583822,0.016861274,0.067445095,0.029507229,0.967901135,5930.750042,80,61.19404265,541.530576,171.6909718,4.384210929,325.5478627,20.46596238,22.89710958,4.571300744,,23671,90.45,261.7026,0.3967,0.977338757,0.470462909,0.088774607,minandao,0,1,0
Typhoon,Bopha,PH101305000,121,557,678,260.25,4.655341733,1.011304039,5.666645772,2.175139472,0.355646773,11964.75,107.6137988,22.44038834,347.9530475,181.5322048,13.45058774,1105.501563,42.89968245,67.11624459,8.878533658,,47773,1179.0222,40.5192,0.585,0.938976782,0.355352373,0.117449174,minandao,0,1,0
Typhoon,Bopha,PH101310000,3,15,18,6.75,0.097125097,0.019425019,0.116550117,0.043706294,0.92917847,15443.99994,117.4795324,17.19482737,422.0883557,182.0259648,11.337456,1250.338794,56.2836159,57.19434218,10.33623377,,61774,438.5469,140.8606,0.4896,0.962246417,0.396020992,0.099747475,minandao,0,1,0
Typhoon,Bopha,PH101311000,23,191,214,70.75,1.737587846,0.209238327,1.946826173,0.643635288,0.441716721,10992.25,120.7215712,2.320902237,376.8979669,215.4414787,6.255215334,564.1805907,29.97668629,32.67725209,6.218377667,,43973,331.8925,132.4918,0.3717,0.94818026,0.318580502,0.079624281,minandao,0,1,0
Typhoon,Bopha,PH101313000,257,1558,1815,646.5,25.48562549,4.203983151,29.68960864,10.57538952,0.196483302,6113.249999,103.8560587,26.70536231,340.3670098,204.9142133,15.39425918,669.6369592,53.61277628,79.66163017,10.46656027,,24457,470.0272,52.0331,0.6534,0.907519099,0.244270205,0.17948718,minandao,0,1,0
Typhoon,Bopha,PH101314000,30,135,165,63.75,0.538868376,0.119748528,0.658616905,0.254465622,0.727644122,25052.49998,120.6051892,8.645972034,346.4345685,203.4769789,9.152066514,624.9322163,45.19623305,47.27097176,8.910468742,,100208,537.0537,186.5885,0.3395,0.952448545,0.474142418,0.042251272,minandao,0,1,0
Typhoon,Bopha,PH101318000,140,215,355,193.75,1.53193915,0.997541772,2.529480922,1.38052656,0.788937511,14034.5,112.8329682,22.45455682,537,136.033396,13.74630209,703.0616429,41.01024562,68.51680999,8.801806741,,56133,751.0708,74.7373,0.6319,0.81197206,0.201754386,0.163774983,minandao,0,1,0
Typhoon,Bopha,PH101319000,26,158,184,65.5,2.284887925,0.375994215,2.66088214,0.947216197,0.418886199,6915.000001,127.6647287,2.304591041,415.8251536,195.0152665,7.610951678,776.9385574,36.38843863,40.15351612,7.268588837,,27660,207.5037,133.2988,0.451,0.963397043,0.495852867,0.058387563,minandao,0,1,0
Typhoon,Bopha,PH101320000,12,40,52,22,0.223326447,0.066997934,0.290324382,0.122829546,0.872210305,17910.99998,98.14304582,32.63821936,388,212.5852658,10.09601039,1177.106933,51.88548015,52.67945103,9.955281923,,71653,1201.0548,59.6582,0.6243,0.95225521,0.194190694,0.15674725,minandao,0,1,0
Typhoon,Bopha,PH101321000,301,1100,1401,576,2.279875436,0.623856824,2.90373226,1.193825683,0.495097102,48248.25,106.3482868,26.73359912,525.6152072,167.4512091,8.096189507,721.4401412,40.23381234,40.24681344,8.356943434,,192995,824.6324,234.0374,0.3482,0.959217749,0.524176578,0.055245527,minandao,0,1,0
