pcode,N damaged,P damaged,N houses,Wind speed,Distance to typhoon,Poverty incidence,p strong roof,p strong wall,Experience,Region
PH112508000,80,0.007495901,10672.5,90.82707007,45.77444398,0.581,0.336691856,0.184089001,1,minandao
PH112509000,77,0.002182215,35285.25003,65.69879195,90.86238866,0.27,0.790875122,0.329733463,1,minandao
PH112511000,192,0.029285033,6556.249999,80.65001609,60.79223585,0.5686,0.559836648,0.169744318,1,minandao
PH118201000,9059,0.414248805,21868.5,140.827372,1.563135893,0.2703,0.932552569,0.452450641,1,minandao
PH118202000,5815,0.314860438,18468.5,133.2741801,5.575594434,0.538,0.870107477,0.283431987,1,minandao
PH118203000,57,0.005547175,10275.5,90.00638293,44.76403371,0.3208,0.764608027,0.403202329,1,minandao
PH118204000,274,0.01348475,20319.25,95.93056494,33.38277959,0.2961,0.922697545,0.444712311,1,minandao
PH118205000,147,0.009664377,15210.5,95.15519987,36.54126945,0.3123,0.90123545,0.475966339,1,minandao
PH118206000,710,0.07662215,9266.249999,112.9628996,22.71614176,0.3216,0.959018375,0.514144101,1,minandao
PH118207000,6777,0.285623973,23727,118.5224176,19.3303344,0.2592,0.949844735,0.351886615,1,minandao
PH118208000,5423,0.496316295,10926.5,139.056272,2.544504289,0.4017,0.955602537,0.411054062,1,minandao
PH118209000,2633,0.128073546,20558.5,125.4455299,16.40746062,0.2443,0.957092726,0.492078682,1,minandao
PH118210000,7702,0.645518166,11931.5,130.1820433,16.08562503,0.329,0.964677433,0.519388548,1,minandao
PH118211000,56,0.002607714,21474.75,85.08463278,53.63236553,0.3645,0.755567172,0.358352498,1,minandao
PH126317000,3,0.000171487,17494.00021,40,184.6129464,0.3293,0.838733075,0.461143341,1,minandao
PH126318000,1,9.77E-05,10236.75005,40,190.3232203,0.2795,0.930984153,0.567854909,1,minandao
PH153601000,7,0.001343506,5210.25,67.64447442,78.24752974,0.8476,0.894585529,0.347388596,1,minandao
PH153603000,5,0.000685401,7295,70,72.06828854,0.6355,0.993939394,0.54520202,1,minandao
PH153606000,15,0.002686246,5584,82.90151733,49.90263777,0.5288,0.998203862,0.398742703,1,minandao
